Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
450,33.9257,22,26,33,8.7,7.49246,11.08
451,33.9257,22,27,32,8.72,7.49749,11.08
452,33.9257,22,26,33,8.7,7.49246,11.08
453,33.9257,22,26,33,8.7,7.49246,11.08
454,33.9355,23,26,33,8.7,7.49246,11.08
455,33.9355,23,26,33,8.7,7.49246,11.08
456,33.9355,23,25,32,8.7,7.49246,11.08
457,33.9257,22,26,33,8.72,7.49749,11.08
458,33.9257,22,25,33,8.72,7.49749,11.08
459,33.9257,20,26,31,8.7,7.48241,11.06
460,33.9355,22,27,33,8.72,7.49749,11.08
461,33.9355,23,27,30,8.72,7.49749,11.08
462,33.9355,22,27,32,8.7,7.48241,11.06
463,33.9355,22,27,33,8.72,7.49749,11.08
464,33.9355,22,27,33,8.72,7.49749,11.08
465,33.9355,22,27,32,8.7,7.48241,11.06
466,33.9355,22,27,33,8.72,7.49749,11.08
467,33.9355,22,27,33,8.72,7.49749,11.08
468,33.9355,22,26,31,8.72,7.49749,11.08
469,33.9355,23,27,31,8.7,7.48241,11.06
470,33.9355,23,27,31,8.72,7.49749,11.08
471,33.9355,22,27,33,8.72,7.49749,11.08
472,33.9355,22,27,31,8.68,7.46734,11.04
473,33.9355,21,25,31,8.7,7.48241,11.06
474,33.9355,22,27,30,8.7,7.48241,11.06
475,33.9453,23,27,33,8.72,7.49749,11.08
476,33.9453,23,27,33,8.72,7.49749,11.08
477,33.9453,23,27,32,8.72,7.49749,11.08
478,33.9453,22,27,31,8.72,7.49749,11.08
479,33.9453,23,27,33,8.72,7.49749,11.08
480,33.9453,23,27,33,8.72,7.49749,11.08
481,33.9453,23,27,33,8.72,7.49749,11.08
482,33.9453,24,26,33,8.72,7.49749,11.08
483,33.9453,23,27,33,8.72,7.49749,11.08
484,33.9355,22,27,33,8.72,7.49749,11.08
485,33.9355,22,25,30,8.72,7.49749,11.08
486,33.9355,22,27,33,8.72,7.49749,11.08
487,33.9355,22,27,32,8.7,7.48241,11.06
488,33.9355,22,27,31,8.72,7.49749,11.08
489,33.9335,22,27,33,8.7,7.48241,11.06
490,33.9335,22,27,32,8.7,7.48241,11.06
491,33.9335,23,27,32,8.72,7.49749,11.08
492,33.9335,22,27,32,8.7,7.48241,11.06
493,33.9335,22,27,31,8.7,7.48241,11.06
494,33.9237,21,27,33,8.7,7.48241,11.06
495,33.9257,21,27,33,8.72,7.49749,11.08
496,33.9257,21,27,32,8.72,7.49749,11.08
497,33.9257,22,27,31,8.72,7.49749,11.08
498,33.9257,21,27,33,8.72,7.49749,11.08
499,33.9257,21,27,32,8.72,7.49749,11.08
500,33.9355,22,27,33,8.72,7.49749,11.08
501,33.9355,23,25,31,8.72,7.49749,11.08
502,33.9355,22,27,33,8.72,7.49749,11.08
503,33.9355,22,27,31,8.7,7.48241,11.06
504,33.9355,22,27,31,8.72,7.49749,11.08
505,33.9355,22,27,30,8.7,7.48241,11.06
506,33.9355,22,27,33,8.72,7.49749,11.08
507,33.9355,23,27,32,8.72,7.49749,11.08
508,33.9355,22,27,33,8.72,7.49749,11.08
509,33.9355,22,27,32,8.72,7.49749,11.08
510,33.9355,22,27,32,8.72,7.49749,11.08
511,33.9355,23,27,31,8.7,7.49246,11.08
512,33.9355,22,27,33,8.72,7.49749,11.08
513,33.9355,22,27,32,8.72,7.49749,11.08
514,33.9257,21,27,33,8.72,7.49749,11.08
515,33.9257,22,27,32,8.72,7.49749,11.08
516,33.9257,19,27,31,8.7,7.49246,11.08
517,33.9257,22,27,32,8.72,7.49749,11.08
518,33.9257,21,27,32,8.7,7.48241,11.06
519,33.9257,23,27,32,8.72,7.49749,11.08
520,33.9355,22,27,33,8.72,7.49749,11.08
521,33.9355,22,27,32,8.72,7.49749,11.08
522,33.9355,22,27,33,8.7,7.49246,11.08
523,33.9355,22,27,32,8.7,7.49246,11.08
524,33.9355,22,27,33,8.7,7.49246,11.08
525,33.9355,22,27,33,8.7,7.49246,11.08
